SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
CHI,Pineda,Victor,Victor Pineda,M,46500.00,53242.00,"May 1, 2013",2013,May,May 2013,,
CHI,Pineda ,Victor ,Victor  Pineda ,M ,44100.00,50842.00,"January 10, 2012",2012,January,January 2012,,
FCD,Ulloa,Victor,Victor Ulloa,M,46500.00,49000.00,"August 1, 2013",2013,August,August 2013,,
,Muniz,Nico,Nico Muniz,M,46500.00,48500.00,"August 1, 2013",2013,August,August 2013,,
LAG,Sorto,Oscar,Oscar Sorto,D,46500.00,48375.00,"August 1, 2013",2013,August,August 2013,,
LAG,Villarreal,Joseph,Joseph Villarreal,M,46500.00,48375.00,"August 1, 2013",2013,August,August 2013,,
FCD,Hernandez,Moises,Moises Hernandez,D,46500.00,48125.00,"August 1, 2013",2013,August,August 2013,,
HOU,Salazar,Bryan,Bryan Salazar,F,46500.00,47500.00,"August 1, 2013",2013,August,August 2013,,
SKC,Ellis,Kevin,Kevin Ellis,D,46500.00,47250.00,"August 1, 2013",2013,August,August 2013,,
CHI,Pineda ,Victor ,Victor  Pineda ,M ,44100.00,50842.00,"August 1, 2012",2012,August,August 2012,,
CHI,Pineda ,Victor ,Victor  Pineda ,M ,44100.00,50842.00,"May 15, 2012",2012,May,May 2012,,
CHI,Pineda ,Victor ,Victor  Pineda ,M ,42000.00,48742.00,"January 9, 2011",2011,January,January 2011,,
CHI,Plotkin ,Brian ,Brian  Plotkin ,M ,30000.00,30000.00,"July 31, 2007",2007,July,July 2007,,
TFC,Zavaleta,Eriq,Eriq Zavaleta,F,85000.00,115600.00,"September 15, 2015",2015,September,September 2015,,
CHI,Pongolle,Florent,Florent Pongolle,F,72000.00,81000.00,"September 15, 2014",2014,September,September 2014,,
CHI,Prideaux ,Brandon ,Brandon  Prideaux ,D ,75600.00,75600.00,"September 15, 2009",2009,September,September 2009,,
CHV,Borja,Carlos,Carlos Borja,D,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CHV,Iraheta,Marvin,Marvin Iraheta,M,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CHV,McLain,Patrick,Patrick McLain,GK,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CLB,Anor,Bernardo,Bernardo Anor,M,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CLB,Barson,Chad,Chad Barson,D,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CLB,Gehrig,Eric,Eric Gehrig,M,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
CLB,George,Kevan,Kevan George,M,46500.00,46500.00,"August 1, 2013",2013,August,August 2013,,
